YLR331C	Jumonji Interacting Protein
YARCTY1-1	
YARCTY1-1	
YARCDELTA5	
YARWDELTA6	
YARWDELTA7	
YARCDELTA8	
YJLWDELTA1	
YJLWDELTA1	
YBL069W	Protein involved in targeting of plasma membrane [H+]ATPase
YBR006W	succinate semialdehyde dehydrogenase
YBR201W	Degradation in the Endoplasmic Reticulum
YCL024W	S. pombe Nim1 homolog|protein kinase
YFL031W	bZIP (basic-leucine zipper) protein
YFL031W	bZIP (basic-leucine zipper) protein
YFL031W	bZIP (basic-leucine zipper) protein
YGR029W	sulfhydryl oxidase
YGR029W	sulfhydryl oxidase
YKL033W-A	Similar to S. pombe hypothetical proteins
YKL198C	Putative serine/threonine protein kinase
YNL044W	Interacts with YPT proteins
YNL180C	rho GTPase
YIR043C	Hypothetical ORF
YIR044C	Hypothetical ORF
YIR020W-B	
YIL156w-a	Questionable ORF from MIPS
YIL100c-a	Questionable ORF from MIPS
YIL071w-a	Questionable ORF from MIPS
YIL068w-a	Questionable ORF from MIPS
YIL066w-a	Questionable ORF from MIPS
YIR017w-a	Questionable ORF from MIPS
YIR020c-a	
YIR023c-a	Questionable ORF from MIPS
YIL162W	invertase (sucrose hydrolyzing enzyme)
YIL106W	Mps One Binder
YIL066C	ribonucleotide reductase, large (R1) subunit
YIR020C	Hypothetical ORF
YIR021W	RNA splicing protein of the mitochondrial carrier (MCF) family
YIR022W	signal peptidase subunit
YIR023W	transcriptional activator for allantoin and GABA catabolic genes, contains a Zn[2]-Cys[6] fungal-type binuclear cluster domain in the N-terminal region
YIR024C	(putative) involved in cell cycle control
YIR025W	needed for Meiotic Nuclear Division
YIR026C	protein tyrosine phosphatase induced by nitrogen starvation
YIR027C	allantoinase
YIR028W	allantoin permease
YIR029W	allantoicase
YIR030C	Product of gene unknown
YIR031C	malate synthase 2
YIR032C	ureidoglycolate hydrolase
YIR033W	Product of gene unknown
YIR034C	saccharopine dehydrogenase
YIR035C	Hypothetical ORF
YIR036C	Hypothetical ORF
YIR037W	glutathione-peroxidase (putative)
YIR038C	glutathione transferase
YIR039C	GPI-anchored aspartic protease
YIR041W	Hypothetical ORF
YIR042C	Hypothetical ORF
YIR043C	Hypothetical ORF
YIL003W	Protein required for cell viability
YIL002C	phosphatidylinositol 4,5-bisphosphate 5-phosphatase
YIL001W	Hypothetical ORF
YIR001C	contains one RNA recognition (RRM) domain
YIR002C	RNA helicase that influences the mutation rate of nuclear and mitochondrial genomes
YIR003W	Hypothetical ORF
YIR004W	DnaJ-like protein required for Peroxisome biogenesis; Djp1p is located in the cytosol
YIR005W	U2 snRNP associated protein
YIR006C	Involved in actin organization and endocytosis
YIR007W	Hypothetical ORF
YIR008C	DNA primase p48 polypeptide
YIR009W	U2 snRNP component|YU2B
YIR010W	Protein required for cell viability
YIR011C	restores protein transport when overexpressed and rRNA stability to a sec23 mutation
YIR012W	Involved in a late step of 60S ribosomal subunit assembly or modification; contains multiple WD repeats; interacts with Qsr1p
YIR013C	very short and so far mRNA can't be detected
YIR014W	Hypothetical ORF
YIR015W	RNase P integral subunit
YIR016W	Hypothetical ORF
YIR017C	transcriptional activator in the Cbf1p-Met4p-Met28p complex
YIR018W	bZIP (basic-leucine zipper) protein|transcription factor
YIR019C	cell surface flocculin with structure similar to serine/threonine-rich GPI-anchored cell wall proteins
YIL024C	Hypothetical ORF
YIL023C	Hypothetical ORF
YIL022W	48.8 kDa protein involved in mitochondrial protein import
YIL021W	RNA polymerase II 45 kDa subunit
YIL020C	phosphoribosyl-5-amino-1-phosphoribosyl-4-imidazolecarboxiamide isomerase
YIL019W	Protein required for cell viability
YIL017C	Vacuole import and degradation
YIL016W	18.3 kDa integral membrane protein
YIL015W	protease|synthesized in a-cells; cleaves and inactivates alpha factor
YIL015C-A	
YIL014W	alpha-1,3-mannosyltransferase
YIL013C	ABC transporter (putative)
YIL012W	Hypothetical ORF
YIL011W	cell wall mannoprotein
YIL010W	EC 1.11.1.-
YIL009C-A	20.5 kDa 181aa protein
YIL009C-A	20.5 kDa 181aa protein
YIL009W	acyl-CoA synthase
YIL008W	ubiquitin-like protein
YIL007C	Protein with similarity to the p27 subunit of mammalian proteasome modulator
YIL006W	Hypothetical ORF
YIL005W	
YIL004C	Type II membrane protein required for vesicular transport between the endoplasmic reticulum and Golgi complex; v-SNARE with similarity to synaptobrevins
YIL047C	plasma membrane protein
YIL046W	contains five copies of WD40 motif and interacts with and regulates Met4p
YIL045W	30% identity to YER054C/GIP2
YIL044C	ARF GAP with effector function(s)
YIL043C	cytochrome b reductase
YIL042C	Hypothetical ORF
YIL041W	peripheral membrane protein
YIL040W	
YIL039W	Hypothetical ORF
YIL038C	CCR4 transcriptional complex component
YIL037C	pheromone-regulated membrane protein
YIL036W	basic leucine zipper (bZIP) transcription factor
YIL035C	protein kinase CK2 alpha subunit
YIL034C	capping protein beta subunit
YIL033C	cAMP-dependent protein kinase regulatory subunit
YIL032C	Hypothetical ORF
YIL031W	Peptidase that removes SUMO-conjugates from proteins
YIL030C	integral membrane protein
YIL029C	Hypothetical ORF
YIL028W	Hypothetical ORF
YIL027C	Killer toxin REsistant
YIL026C	cohesin complex subunit
YIL025C	Hypothetical ORF
YIL072W	DNA binding protein
YIL071C	transcriptional regulator (putative)|translational regulator (putative)|COP9 signalosome (CSN) subunit
YIL070C	33-kDa mitochondrial acidic matrix protein
YIL068C	exocyst complex 88 kDa component
YIL067C	Hypothetical ORF
YIL065C	outer mitochondrial membrane protein required to localize Dnm1p and Mdv1p during mitochondrial division
YIL064W	Hypothetical ORF
YIL063C	nuclear protein that interacts with Gsp1p and Crm1p
YIL062C	Arp complex subunit
YIL061C	U1snRNP 70K protein homolog
YIL060W	Hypothetical ORF
YIL059C	Hypothetical ORF
YIL058W	Hypothetical ORF
YIL057C	Hypothetical ORF
YIL056W	Hypothetical ORF
YIL055C	Hypothetical ORF
YIL054W	Hypothetical ORF
YIL053W	DL-glycerol-3-phosphatase
YIL052C	ribosomal protein L34B
YIL051C	Maintenance of Mitochondrial Function
YIL050W	cyclin
YIL049W	Protein required for filamentous growth, cell polarity, and cellular elongation
YIL048W	P-type ATPase
YIL096C	Hypothetical ORF
YIL095W	serine/threonine protein kinase
YIL094C	homo-isocitrate dehydrogenase
YIL093C	mitochondrial ribosome small subunit component
YIL092W	Hypothetical ORF
YIL091C	Protein required for cell viability
YIL090W	Hypothetical ORF
YIL089W	Hypothetical ORF
YIL088C	transporter
YIL087C	Hypothetical ORF
YIL086C	Hypothetical ORF
YIL085C	Putative mannosyltransferase of the KRE2 family
YIL084C	Suppressor of Defective Silencing 3Functions are similar to those of SIN3 and RPD3
YIL083C	Homolog to human PPCS
YIL080W	TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition
YIL079C	arginine methyltransferase-interacting RING finger protein
YIL078W	threonine-tRNA ligase
YIL077C	Hypothetical ORF
YIL076W	epsilon-COP coatomer subunit
YIL075C	involved in tRNA processing and degradation of ubiquitinated proteins
YIL074C	3-phosphoglycerate dehydrogenase
YIL073C	meiosis-specific phospholipase A2 homolog
YIL119C	ras inhibitor
YIL118W	GTP-binding protein|ras homolog
YIL117C	pheromone-regulated membrane protein
YIL116W	histidinol-phosphate aminotransferase
YIL115C	contains coiled-coil domain and repeated motifs typical of nucleoporins|nuclear pore complex subunit|nucleoporin 159 kDa
YIL114C	voltage dependent anion channel (YVDAC2)
YIL113W	Hypothetical ORF
YIL112W	
YIL111W	cytochrome c oxidase chain Vb
YIL110W	Hypothetical ORF
YIL109C	vesicle coat component
YIL108W	Hypothetical ORF
YIL107C	6-phosphofructose-2-kinase
YIL105C	AVO2 interactor
YIL104C	required for SnoRNAs of the box H/ACA Quantitative accumulation
YIL103W	Hypothetical ORF
YIL102C	Hypothetical ORF
YIL101C	transcriptional repressor
YIL100W	Hypothetical ORF
YIL099W	glucoamylase
YIL099W	glucoamylase
YIL098C	Assembly factor of ATP synthase in heat stress
YIL097W	Function required for Yeast Viability on toxin exposure
YIL141W	Hypothetical ORF
YIL140W	involved in polarity establishment/cellular polarization during budding
YIL139C	DNA polymerase zeta (pol-zeta) subunit
YIL138C	tropomyosin isoform II
YIL137C	Hypothetical ORF
YIL136W	45 kDa mitochondrial outer membrane protein
YIL135C	Gene whose overexpression suppresses the synthetic lethality of the hal3 sit4 double mutation
YIL134W	FAD carrier protein
YIL133C	ribosomal protein L16A (L21A) (rp22) (YL15)
YIL132C	Chromosome segregation in meiosis
YIL131C	forkhead protein
YIL130W	Hypothetical ORF
YIL129C	Identified in a hunt for mutants that activate OCH1 transcription
YIL128W	TFIIH regulator
YIL127C	Hypothetical ORF
YIL126W	helicase related protein|snf2 homolog
YIL125W	alpha-ketoglutarate dehydrogenase
YIL124W	1-acyl dihydroxyacetone phosphate reductase
YIL123W	(putative) invovled in control of DNA replication
YIL122W	transcription factor (putative)
YIL121W	plasma membrane transporter
YIL120W	multidrug resistance transporter
YIL165C	Hypothetical ORF
YIL164C	nitrilase
YIL163C	Hypothetical ORF
YIL161W	Hypothetical ORF
YIL160C	3-oxoacyl CoA thiolase
YIL159W	Bni1p-related protein, helps regulate reorganization of the actin cytoskeleton, potential target of Rho4p
YIL158W	Hypothetical ORF
YIL157C	Hypothetical ORF
YIL156W	ubiquitin-specific protease
YIL155C	glycerol-3-phosphate dehydrogenase
YIL154C	transcription factor
YIL153W	Resistant to Rapamycin Deletion
YIL152W	Hypothetical ORF
YIL151C	Hypothetical ORF
YIL150C	Protein required for S-phase (DNA synthesis) initiation or completion
YIL149C	coiled-coil protein (putative), similar to myosin and TPR
YIL148W	ribosomal protein L40A|also encodes a ubiquitin protein
YIL147C	histidine kinase osmosensor that regulates an osmosensing MAP kinase cascade|similar to bacterial two-component regulators
YIL146C	ExtraCellular Mutant
YIL145C	pantothenate synthase
YIL144W	Product of gene unknown
YIL143C	DNA helicase|human XPBC, ERCC3 homolog
YIL142W	cytoplasmic chaperonin of the Cct ring complex related to Tcp1p; subunit beta
YIL141W	Hypothetical ORF
YIL176C	Hypothetical ORF
YIL171W	putative hexose permease
YIL171W	putative hexose permease
YIL168W	L-serine dehydratase
YIL167W	Hypothetical ORF
YIL166C	Hypothetical ORF, member of the Dal5p subfamily of the major facilitator family
YHR077C	Protein involved in decay of mRNA containing nonsense codons
YHR209W	Hypothetical ORF
YHR196W	U3 snoRNP protein
YHR197W	RIbosome eXport
YHR198C	Hypothetical ORF
YHR199C	Hypothetical ORF
YHR200W	26S proteasome component|mammalian S5a protein homolog
YHR201C	exopolyphosphatase
YHR202W	Hypothetical ORF
YHR204W	mannosidase like
YHR205W	cAMP-dependent protein kinase homolog|suppressor of cdc25ts
YHR206W	Protein with similarity to DNA-binding region of heat shock transcription factors
YHR207C	
YHR208W	branched-chain amino acid transaminase|highly similar to mammalian ECA39, which is regulated by the oncogene myc
YHR210C	Hypothetical ORF
YHR216W	IMP dehydrogenase homolog
YHR218W	Hypothetical ORF
YHL046w-a	Questionable ORF from MIPS
YHL030w-a	Questionable ORF from MIPS
YHL006w-a	Questionable ORF from MIPS
YHL002c-a	Questionable ORF from MIPS
YHR056w-a	Questionable ORF from MIPS
YHR063w-a	Questionable ORF from MIPS
YHR070c-a	Questionable ORF from MIPS
YHR131w-a	Questionable ORF from MIPS
YHR173C	Hypothetical ORF
YHR174W	enolase
YHR175W	Putative low-affinity copper transport protein
YHR176W	flavin-containing monooxygenase
YHR177W	Hypothetical ORF
YHR178W	binds Sin3p in two-hybrid assay
YHR179W	NAPDH dehydrogenase (old yellow enzyme), isoform 2
YHR180W	Hypothetical ORF
YHR181W	integral membrane protein
YHR182W	Hypothetical ORF
YHR183W	6-phosphogluconate dehydrogenase, decarboxylating; converts 6-phosphogluconate + NADP to ribulose-5-phosphate + NADPH + CO2
YHR184W	Involved in the control of meiotic nuclear divisions & spore formation; dispensable for mitosis, premeiotic DNA synthesis, recombination, meiosis I, meiosis II, & initiation of prospore walls; required for spore wall elongation
YHR185C	Prospore Formation at Selected spindle poles
YHR186C	Kontroller Of Growth
YHR187W	RNA polymerase II Elongator associated protein
YHR188C	GPI transamidase component, human PIG-T homologue
YHR189W	peptidyl-tRNA hydrolase
YHR190W	squalene synthetase
YHR191C	(putative) kinetochore protein
YHR192W	Hypothetical ORF
YHR193C	GAL4 enhancer protein|nascent-polypeptide-associated complex human alpha NAC subunit homolog
YHR194W	Mitochondrial Distribution and Morphology
YHR195W	Vac8p binding protein; nucleus-vacuole junction
YHR151C	Hypothetical ORF
YHR152W	20 kDa protein with negatively charged C-terminus required for function|positive regulator of exit from M-phase in mitosis and meiosis (putative)
YHR153C	Early meiotic protein required for efficient spore formation
YHR154W	Regulator of Ty1 Transposition; Establishes Silent Chromatin
YHR155W	Hypothetical ORF
YHR156C	LIN element of a link between sister chromatid cohesion, DNA replicarion and splicing
YHR157W	meiosis-specific protein
YHR158C	protein contains six kelch repeats, contains leucine zipper patterns, similar to KEL2 and KEL3. Kel1p has been proposed to function as an antagonist of the Pkc1p pathway.
YHR159W	Hypothetical ORF
YHR160C	peroxin
YHR161C	Yeast Assembly Polypeptide, member of AP180 protein family, binds Pan1p and clathrin
YHR162W	Hypothetical ORF
YHR163W	weak multicopy suppressor of los1-1
YHR164C	DNA replication helicase
YHR165C	U5 snRNP and spliceosome component
YHR166C	Required for mitosis and RNA synthesis
YHR167W	affects transcription elongation
YHR168W	Hypothetical ORF
YHR169W	dead box protein
YHR170W	factor required for a late assembly step of the 60S subunit
YHR171W	autophagy
YHR172W	spindle pole body component
YHR129C	actin-related protein of the dynactin complex
YHR130C	Hypothetical ORF
YHR131C	Hypothetical ORF
YHR132C	ExtraCellular Mutant
YHR133C	potential homolog to mammalian Insig1
YHR134W	weak suppressor of smt3
YHR135C	casein kinase I homolog
YHR136C	Suppressor of plc1-delta. Isolated as a dosage suppressor of the temperature-sensitive phenotype of a plc1 null mutant. Also suppresses the hyperosmotic-sensitive phenotype of the plc1 null mutant.
YHR137W	aromatic amino acid aminotransferase II
YHR138C	Homologous to PBI2
YHR139C	sporulation-specific cell wall maturation protein
YHR139C-A	Hypothetical ORF
YHR140W	Hypothetical ORF
YHR142W	The seventh gene identified that is involved in chitin synthesis; involved in Chs3p export from the ER
YHR143W	Daugher Specific Expression 2
YHR143W-A	RNA polymerase II subunit
YHR144C	dCMP deaminase
YHR145C	Hypothetical ORF
YHR146W	Cruciform DNA binding protein
YHR147C	ribosomal protein (YmL6)
YHR148W	U3 snoRNP protein
YHR149C	Hypothetical ORF
YHR150W	peroxin
YHR108W	ARF-binding protein
YHR109W	cytochrome c methyltransferase
YHR110W	p24 protein involved in membrane trafficking
YHR111W	Ubiquitin activating enzyme
YHR112C	Hypothetical ORF
YHR113W	Hypothetical ORF
YHR114W	Associated with LAS17p/Bee1p
YHR115C	Hypothetical ORF
YHR116W	Hypothetical ORF
YHR117W	protein translocase 71 kDa component of the outer membrane of mitochondria
YHR118C	ORC 50 kDa subunit
YHR119W	Gene has a 'SET' or 'TROMO' domain at its carboxyterminus like the trithorax gene family from human and Drosophila with postulated function in chromatin-mediated gene regulation.
YHR120W	mutS homolog
YHR121W	Hypothetical ORF
YHR122W	Protein required for cell viability
YHR123W	sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase
YHR123W	sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase
YHR124W	DNA binding transcription factor that activates middle sporulation genes
YHR125W	Hypothetical ORF
YHR126C	Hypothetical ORF
YHR127W	(H)igh copy (S)uppressor of (N)34 dominant negative allele of SEC4. Suppression is very specific to this allele. It has no affect on the analogous YPT1 allele. No homology or known function.
YHR128W	UPRTase
YHR087W	Hypothetical ORF
YHR088W	protein that localizes to the nucleolus
YHR089C	small nucleolar RNP protein
YHR090C	NuA4 histone acetyltransferase complex component
YHR091C	arginyl-tRNA synthetase
YHR092C	high affinity glucose transporter
YHR093W	the AHT1 DNA sequence is upstream of HXT4 and contains an HXT4 regulatory element which is a multicopy suppressor of glucose transport defects; probable non-functional ORF
YHR094C	hexose transporter
YHR095W	Hypothetical ORF
YHR096C	hexose transporter
YHR097C	Hypothetical ORF
YHR097C	Hypothetical ORF
YHR098C	similar to SEC24
YHR099W	ATM/Mec1/TOR1/TOR2-related|NuA4 complex component
YHR100C	Hypothetical ORF
YHR101C	bad in glucose or big cells
YHR101C	bad in glucose or big cells
YHR102W	Kinase that interacts with Cdc31p; N-rich kinase 1
YHR103W	functionally redundant and similar in structure to SBE2
YHR104W	aldose reductase
YHR105W	Hypothetical ORF
YHR106W	thioredoxin reductase
YHR107C	10 nm filament component of mother-bud neck|septin
YHR065C	Required for maturation of the 35S primary transcript of pre-rRNA and is required for cleavages leading to mature 18S RNA
YHR066W	Ssf2p homolog
YHR067W	Required for Meiotic nuclear Division
YHR068W	deoxyhypusine synthase
YHR069C	3'-5' exoribonuclease|3'-5' exoribonuclease complex component with Rrp4p, Rrp41p, Rrp42p and Dis3p (Rrp44p)
YHR070W	tRNA modification enzyme
YHR071W	PHO85 cyclin
YHR072W	2,3-oxidosqualene-lanosterol cyclase
YHR073W	Oxysterol Binding Protein
YHR074W	glutamine-dependent NAD synthetase
YHR075C	carboxyl methyl esterase
YHR076W	type 2C Protein Phosphatase
YHR078W	Hypothetical ORF
YHR079C	endoribonuclease|serine-threonine kinase|transmembrane protein
YHR079C-A	Involved in meiotic recombination and chromosome metabolism
YHR079C-A	Involved in meiotic recombination and chromosome metabolism
YHR080C	Hypothetical ORF
YHR081W	Like an rRNA Processing protein. Homolog of mammalian C1D, which is a nuclear matrix protein involved in regulation of DNA repair and recombination.
YHR082C	Serine/threonine kinase similar to casein kinase II and other serine/threonine protein kinases
YHR083W	Protein required for cell viability
YHR084W	transcription factor
YHR085W	Involved in Processing ITS2
YHR086W	RNA-binding protein|U1 snRNP protein|involved in meiosis-specific splicing of the REC107 transcripts in cooperation with the Mer1 protein
YHR040W	Box C/D snoRNA accumulation
YHR041C	RNA polymerase II holoenzyme/mediator subunit
YHR042W	NADP-cytochrome P450 reductase
YHR043C	2-deoxyglucose-6-phosphate phosphatase
YHR044C	2-deoxyglucose-6-phosphate phosphatase
YHR045W	Hypothetical ORF
YHR046C	inositol monophosphatase
YHR047C	arginine/alanine aminopeptidase
YHR048W	Hypothetical ORF
YHR049W	
YHR049C-A	Hypothetical ORF
YHR050W	SMF2 was isolated as a high copy suppressor of a temperature sensitive mutation in the PEP ( mitochondrial matrix protease) gene and may influence PEP-dependent protein import
YHR051W	cytochrome c oxidase subunit
YHR052W	Core interacting component 1
YHR053C	copper binding metallothionein
YHR054C	Hypothetical ORF
YHR057C	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)
YHR058C	RNA polymerase II transcriptional regulation mediator
YHR059W	Function required for Yeast Viability on toxin exposure
YHR060W	Required for V-ATPase activity. Required for the biogenesis of a functional vacuolar ATPase (V-ATPase), but not part of the final enzyme complex.
YHR061C	Gtpase-interacting component 1
YHR062C	nuclear ribonuclease P (RNase P) protein subunit
YHR063C	ketopantoate reductase
YHR064C	HSP70 family
YHR020W	Protein required for cell viability
YHR021C	ribosomal protein S27B (rp61) (YS20)
YHR021W-A	ExtraCellular Mutant
YHR022C	Hypothetical ORF
YHR023W	class II myosin
YHR024C	mitochondrial processing protease 53 kDa subunit
YHR025W	homoserine kinase
YHR026W	proteolipid|vacuolar ATPase V0 domain subunit c''
YHR027C	26S proteasome PA700 subunit
YHR028C	dipeptidyl aminopeptidase B (DPAP B)
YHR029C	Hypothetical ORF
YHR030C	Suppressor of lyt2
YHR031C	DNA helicase
YHR032W	Hypothetical ORF
YHR033W	Hypothetical ORF
YHR034C	protein possibly involved in protein synthesis
YHR035W	Hypothetical ORF
YHR036W	Protein required for cell viability
YHR037W	delta-1-pyrroline-5-carboxylate dehydrogenase
YHR038W	mitochondrial ribosome recycling factor
YHR039C	Meiotic Sister-Chromatid recombination
YHR039C-B	
YHL001W	ribosomal protein L14B
YHL001W	ribosomal protein L14B
YHR001W	Oxysterol Binding Protein
YHR001W-A	ubiqunol-cytochrome c oxidoreductase complex 8.5 kDa subunit
YHR002W	mitochondrial carrier protein, involved in the accumulation of CoA in the mitochondrial matrix; homologue of human Graves disease protein; LEU5 does not encode an alpha-IPM synthase, as was first hypothesized.
YHR003C	Hypothetical ORF
YHR004C	Nuclear Envelope Morphology
YHR005C	G protein alpha subunit|coupled to mating factor receptor
YHR005C-A	May act cooperatively with Mrs5p in mitochondrial protein import or other related essential mitochondrial processes
YHR006W	Involved in pre-tRNA splicing and in uptake of branched-chain amino acids
YHR007C	cytochrome P450 lanosterol 14a-demethylase
YHR008C	Mn-containing superoxide dismutase
YHR009C	Hypothetical ORF
YHR010W	ribosomal protein L27A
YHR010W	ribosomal protein L27A
YHR011W	protein similar to bacterial seryl-tRNA synthases
YHR012W	vacuolar protein sorting
YHR013C	N alpha-acetyltransferase major subunit|complexes with Nat1p
YHR014W	Spo13 acts as a transcriptional activator in a one-hybrid assay (see Henninger et al (1996) SPO13 and control of meiotic chromosome segregation in Saccharomyces cerevisiae)
YHR015W	RNA-binding protein, interacts with MEX67
YHR016C	SH3 domain in C-terminus
YHR017W	similar to S. douglasii YSD83
YHR018C	argininosuccinate lyase
YHR019C	asparaginyl-tRNA synthetase
YHL023C	Required for Meiotic nuclear Division
YHL022C	early meiosis-specific recombination protein
YHL021C	Hypothetical ORF
YHL020C	Negative regulator of phospholipid biosynthesis
YHL019C	homologous to the medium chain of mammalian clathrin-associated protein complex
YHL018W	Hypothetical ORF
YHL017W	Hypothetical ORF
YHL016C	Urea active transport protein
YHL015W	ribosomal protein S20
YHL014C	Protein with weak similarity to B. subtilis GTP-binding protein and to human glycogen phosphorylases
YHL013C	Hypothetical ORF
YHL012W	Hypothetical ORF
YHL011C	ribose-phosphate pyrophosphokinase
YHL010C	Hypothetical ORF
YHL009C	bZIP protein; transcription factor
YHL008C	Hypothetical ORF
YHL007C	Involved in pheromone response and pseudohyphal growth pathways
YHL006C	suppressor of HU sensitivity involved in recombination
YHL005C	Hypothetical ORF
YHL004W	mitochondrial ribosomal protein|mitochondrial ribosome 37 S subunit component|similar to E. coli ribosomal protein S2
YHL003C	YKL008C
YHL002W	Has Symptoms of class E vps mutant
YHL047C	triacetylfusarinine C transporter
YHL046C	Hypothetical ORF
YHL044W	Hypothetical ORF
YHL043W	ExtraCellular Mutant
YHL042W	Hypothetical ORF
YHL041W	Hypothetical ORF
YHL040C	Transporter that specifically recognizes siderophore-iron chelates and is expressed under conditions of iron deprivation.
YHL039W	Hypothetical ORF
YHL038C	Protein required for splicing of COB aI5 intron
YHL037C	Hypothetical ORF
YHL036W	very low affinity methionine permease
YHL035C	Hypothetical ORF
YHL034C	single stranded nucleic acid binding protein
YHL033C	ribosomal protein L8A (rp6) (YL5) (L4A)
YHL032C	converts glycerol to glycerol-3-phosphate|glyerol kinase
YHL031C	SNARE protein with a C-terminal membrane anchorGOlgi Snare
YHL030W	ExtraCellular Mutant
YHL029C	Hypothetical ORF
YHL028W	contains novel cysteine motif|integral membrane protein (putative)|similar to SLG1 (WSC1), WSC2 and WSC3
YHL027W	Regulator of IME2 (RIM)Rim101p is similar to the Aspergillus Phenotype-response regulator PacC and the Yarrowia proteinase YlRim1010p; transcriptional activator required for entry into meiosis
YHL026C	Hypothetical ORF
YHL025W	chromatin remodeling Snf/Swi complex subunit
YHL024W	RNA-binding protein of the RRM class (putative)
YGR275W	Regulator of Ty1 Transposition
YGR276C	ribonuclease H
YGR277C	Homolog to human PPAT
YGR278W	Complexed with Cef1p
YGR279C	soluble cell wall protein
YGR280C	Possible telomerase regulator or RNA-binding protein
YGR281W	ABC transporter
YGR282C	cell wall endo-beta-1,3-glucanase
YGR283C	Hypothetical ORF
YGR284C	ER-Golgi transport vesicle protein
YGR285C	zuotin, Z-DNA binding protein (putative)
YGR286C	biotin synthase
YGR287C	Hypothetical ORF
YGR288W	MAL-activator protein
YGR289C	alpha-glucoside transporter|hexose transporter|maltose permease
YGR290W	Hypothetical ORF
YGR291C	Hypothetical ORF
YGR293C	Hypothetical ORF
YGR294W	Hypothetical ORF
YGR122C-A	Similar to probable membrane protein YLR334C and ORF YOL106W
YGR122C-A	Similar to probable membrane protein YLR334C and ORF YOL106W
YGL006w-a	Identified by SAGE
YGR029W	sulfhydryl oxidase
YGR254W	enolase I
YGR254W	enolase I
YGR255C	monooxygenase
YGR256W	6-phosphogluconate dehydrogenase
YGR257C	putative mitochondrial carrier protein
YGR258C	xeroderma pigmentosum group G (XPG) protein homolog
YGR259C	Hypothetical ORF
YGR260W	high affinity nicotinic acid plasma membrane permease
YGR261C	clathrin assembly complex beta adaptin component (putative)
YGR262C	
YGR263C	presents weak similarity to a putative E. coli protein defined as a lipase-like enzyme
YGR264C	methionine-tRNA ligase
YGR265W	Protein required for cell viability
YGR266W	probably contains a single transmembrane span
YGR267C	GTP-cyclohydrolase I
YGR268C	
YGR269W	Hypothetical ORF
YGR270W	Member of CDC48/PAS1/SEC18 family of ATPases
YGR271W	SKI2-like helicase
YGR272C	Hypothetical ORF
YGR273C	Hypothetical ORF
YGR274C	TAFII complex component required for activated transcription
YGR231C	mammalian BAP37 and S. cerevisiae Phb1p homolog|prohibitin homolog
YGR232W	26S proteasome interacting protein
YGR233C	Positive regulatory protein of phosphate pathway
YGR234W	flavohemoglobin
YGR235C	Hypothetical ORF
YGR236C	Hypothetical ORF
YGR237C	Hypothetical ORF
YGR238C	protein containing six kelch repeats suspected of mediating binding interactions with actin; similar to KEL1 and KEL3.
YGR239C	peroxin
YGR240C	phosphofructokinase alpha subunit
YGR241C	Yeast Assembly Polypeptide, member of AP180 protein family, binds Pan1p and clathrin
YGR242W	Hypothetical ORF
YGR243W	Hypothetical ORF
YGR244C	beta subunit of succinyl-CoA ligase (synthetase; ATP-forming), a mitochondrial enzyme of the TCA cycle
YGR245C	Severe Depolymerization of Actin
YGR246C	RNA polymerase III transcription factor|similar to TFIIB
YGR247W	2',3'-cyclic nucleotide 3'-phosphodiesterase
YGR248W	6-phosphogluconolactonase
YGR249W	similar to heat shock transcription factor
YGR250C	Hypothetical ORF
YGR251W	Protein required for cell viability
YGR252W	histone acetyltransferase
YGR253C	proteasome subunit
YGR209C	thioredoxin|EC 1.8.4.8
YGR210C	Hypothetical ORF
YGR211W	zinc finger protein
YGR212W	Hypothetical ORF
YGR213C	involved in 7-aminocholesterol resistance
YGR214W	ribosomal protein S0A
YGR214W	ribosomal protein S0A
YGR215W	mitochondrial ribosome small subunit component
YGR216C	Participates in synthesis of N-acetylglucoaminylphosphatidylinositol, the first intermediate in synthesis of glycosylphosphatidylinositol (GPI) anchors
YGR217W	calcium channel (putative)
YGR218W	chromosome region maintenance protein
YGR219W	Hypothetical ORF
YGR220C	ribosomal protein (YmL9) (E. coli L3) (human MRL3)
YGR221C	Target of SBF
YGR222W	translational activator of cytochrome C oxidase subunit III; required for splicing of cytochrome c oxidase subunit I mRNA
YGR223C	Hypothetical ORF
YGR224W	MFS-MDR
YGR225W	Required for sporulation, highly induced during sporulation; activator of meiotic anaphase promoting complex
YGR226C	
YGR227W	glucosyltransferase
YGR228W	Hypothetical ORF
YGR229C	57 kDa nuclear protein
YGR230W	bypasses need for SPO12
YGR187C	HMG1/2 homolog
YGR188C	checkpoint gene involved in permitting entry into mitosis depending upon the assembly state of microtubules
YGR189C	cell wall protein
YGR190C	Protein required for cell viability
YGR191W	histidine permease
YGR192C	glyceraldehyde-3-phosphate dehydrogenase 3
YGR193C	pyruvate dehydrogenase complex protein X component
YGR194C	xylulokinase
YGR195W	RNAse PH homolog
YGR196C	Function required for Yeast Viability on toxin exposure
YGR197C	Involved in nitrosoguanidine resistance
YGR198W	Protein required for cell viability
